Nome,Garantia,Cor,Fabricante/marca ,Modelo ,Numero de serie ,Data de fabricação,Validade ,Condição/localização,Patrimonio ,Quantidade,,,
Módulo sensor infravermelho ,n/info,,DESCONHECIDO,IR TCRT5000,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,20,,,
Módulo driver p/motor alta potencia ,n/info,,DESCONHECIDO,H L298N,DESCONHECIDO ,N/INFORMADO,n/info,caixa ,,9,,,
kit componentes eletrônicos ,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,Saco trasparente,,9,,,
Módulo relé 4 canais ,n/info,,DESCONHECIDO,SRD-05VDC-SL-C,DESCONHECIDO ,N/INFORMADO,n/info,caixa ,,6,,,
Módulo Ethernet mini,n/info,,DESCONHECIDO,ENC28J60 MINI,DESCONHECIDO ,N/INFORMADO,n/info,caixa organiza,,1,,,
Relé eletromagnético ,n/info,,Metaltex,AS1RC3 24VCC,DESCONHECIDO ,N/INFORMADO,n/info,MINI GAVETAS,,8,,,
Componentes eletrônicos  ,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,caixa organiza,,6,,,
Cabo USB B,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,10,,,
Cabo USB-A mini,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,9,,,
Cabo USB-C,n/info,,DESCONHECIDO,C,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,4,,,
Cabo USB 3.0,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,1,,,
Cabo USB 2.0A p/ mini USB-B,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,9,,,
Barra de pinos macho,n/info,,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,14,,,
Resistores,n/info,,DESCONHECIDO,12 tipos,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,12,,,
Cabo Jumper,n/info,,DESCONHECIDO,Macho-macho,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,1saco,,,
Cabo Jumper,n/info,,DESCONHECIDO,Fêmea-Fêmea,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,1saco,,,
Cabo Jumper,n/info,,DESCONHECIDO,Macho-Fêmea,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,1saco,,,
Fios elétricos Jumper ,n/info,,DESCONHECIDO,Macho-macho,DESCONHECIDO ,N/INFORMADO,n/info,Gaveteiro/Arm03,,1saco,,Total de itens:,867
Gravador de vídeo em rede ,n/info,,D-Link,DNR-322L,R39L2E2000534,N/INFORMADO,n/info,ARmario02,,3,,,
